articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
-2015,<1,0.664,F,NA,MATCH,TRUE
-2015,24.10,23.349,F,NA,MATCH,TRUE
-2015,<.001,6.01e-13,p,NA,MATCH,TRUE
-2015,.27,0.26528411,other,NA,MATCH,TRUE
-2015,16.28,16.283,F,NA,MATCH,TRUE
-2015,<.001,1.77e-9,p,NA,MATCH,TRUE
-2015,<.001,7.23e-5,p,NA,MATCH,TRUE
-2015,.28,0.2772092,other,NA,MATCH,TRUE
-2015,.001,0.00113,p,NA,MATCH,TRUE
-2015,.20,0.1962763,other,NA,MATCH,TRUE
-2015,.053,0.0528,p,NA,MATCH,TRUE
-2015,.08,0.0774451,other,NA,MATCH,TRUE
-2015,<.001,3.05e-4,p,NA,MATCH,TRUE
-2015,.24,0.2356667,other,NA,MATCH,TRUE
